id,name,PLZ
4193,Brunegg,5505
4194,Dintikon,5606
4195,Egliswil,5703
4195,Egliswil,5704
4196,Fahrwangen,5615
4197,Hallwil,5705
4199,Holderbank (AG),5113
4200,Hunzenschwil,5502
4202,Meisterschwanden,5616
4202,Meisterschwanden,5617
4203,Möriken-Wildegg,5103
4204,Niederlenz,5702
4205,Othmarsingen,5504
4206,Rupperswil,5102
4207,Schafisheim,5503
4208,Seengen,5707
4210,Staufen,5603
4221,Abtwil,5646
4222,Aristau,5628
4222,Aristau,5630
4223,Auw,5637
4223,Auw,5643
4223,Auw,5644
4226,Besenbüren,5627
4227,Bettwil,5632
4228,Boswil,5623
4229,Bünzen,5624
4231,Dietwil,6042
4233,Kallern,5625
4234,Merenschwand,5634
4234,Merenschwand,5636
4237,Oberrüti,5647
4238,Rottenschwil,8919
4239,Sins,5645
4240,Waltenschwil,5622
4253,Magden,4312
4254,Möhlin,4313
4255,Mumpf,4322
4256,Obermumpf,4324
4258,Rheinfelden,4310
4259,Schupfart,4325
4260,Stein (AG),4332
4261,Wallbach,4323
4262,Wegenstetten,4317
4263,Zeiningen,4314
4263,Zeiningen,4315
4271,Aarburg,4665
4273,Bottenwil,4813
4273,Bottenwil,4814
4274,Brittnau,4803
4274,Brittnau,4805
4275,Kirchleerau,5054
4276,Kölliken,5742
4279,Murgenthal,4853
4279,Murgenthal,4856
4280,Oftringen,4800
4281,Reitnau,5056
4281,Reitnau,5057
4282,Rothrist,4802
4282,Rothrist,4852
4283,Safenwil,5745
4284,Staffelbach,5053
4286,Uerkheim,4812
4288,Wiliberg,5058
4303,Böttstein,5314
4303,Böttstein,5315
4304,Döttingen,5312
4305,Endingen,5304
4305,Endingen,5305
4306,Fisibach,5467
4307,Full-Reuenthal,5324
4309,Klingnau,5313
4309,Klingnau,5322
4311,Leibstadt,5325
4312,Lengnau (AG),5426
4313,Leuggern,5316
4313,Leuggern,5317
4314,Mellikon,5465
4318,Schneisingen,5425
4320,Tegerfelden,5306
4324,Zurzach,5323
4324,Zurzach,5330
4324,Zurzach,5332
4324,Zurzach,5333
4324,Zurzach,5334
4324,Zurzach,5463
4324,Zurzach,5464
4324,Zurzach,5466
4401,Arbon,9320
4406,Dozwil,8582
4411,Egnach,9314
4411,Egnach,9322
4426,Kesswil,8593
4431,Roggwil (TG),9325
4436,Romanshorn,8590
4441,Salmsach,8599
4451,Uttwil,8592
4461,Amriswil,8581
4461,Amriswil,8587
4476,Erlen,8586
4476,Erlen,9216
4486,Hauptwil-Gottshaus,9225
4501,Kradolf-Schönenberg,9214
4501,Kradolf-Schönenberg,9215
4501,Kradolf-Schönenberg,9217
4506,Sulgen,8583
4511,Zihlschlacht-Sitterdorf,8588
4511,Zihlschlacht-Sitterdorf,8589
4536,Basadingen-Schlattingen,8254
4536,Basadingen-Schlattingen,8255
4545,Diessenhofen,8252
4545,Diessenhofen,8253
4551,Aadorf,8356
4551,Aadorf,8357
4551,Aadorf,8522
4551,Aadorf,9547
4561,Felben-Wellhausen,8552
4566,Frauenfeld,9548
4571,Gachnang,8547
4590,Hüttlingen,8553
4601,Neunforn,8526
4606,Stettfurt,9507
4611,Thundorf,8512
4616,Uesslingen-Buch,8524
4621,Warth-Weiningen,8532
4621,Warth-Weiningen,8536
4641,Altnau,8595
4643,Bottighofen,8280
4643,Bottighofen,8598
4646,Ermatingen,8272
