ID,MainCategory,SubCategory,TotalPower,Date
2,Other renewable energies,Photovoltaic,169.35999999999999,1998
23,Hydroelectric power,Hydroelectric power,48000,1914
8,Other renewable energies,Photovoltaic,4.6,2001
17,Other renewable energies,Photovoltaic,79,1998
18,Hydroelectric power,Hydroelectric power,520.8,2005
16,Fossil fuel,Natural gas,780,1981
18,Other renewable energies,Waste,13000,1991
2,Hydroelectric power,Hydroelectric power,2620,1950
2,Hydroelectric power,Hydroelectric power,1390,2005
6,Hydroelectric power,Hydroelectric power,48000,1994
6,Hydroelectric power,Hydroelectric power,16310,1957
18,Hydroelectric power,Hydroelectric power,639,1994
15,Other renewable energies,Photovoltaic,83.3,1995
8,Other renewable energies,Waste,12500,1984
22,Hydroelectric power,Hydroelectric power,914,1995
14,Hydroelectric power,Hydroelectric power,5040,1993
2,Hydroelectric power,Hydroelectric power,1337500,1961
21,Hydroelectric power,Hydroelectric power,232,1996
8,Hydroelectric power,Hydroelectric power,3375,1978
8,Hydroelectric power,Hydroelectric power,1785,1961
8,Hydroelectric power,Hydroelectric power,16500,2005
16,Hydroelectric power,Hydroelectric power,2480,1954
5,Hydroelectric power,Hydroelectric power,107400,1924
8,Hydroelectric power,Hydroelectric power,30500,2004
8,Hydroelectric power,Hydroelectric power,1015,1993
1,Other renewable energies,Waste,20200,1976
6,Hydroelectric power,Hydroelectric power,33900,1905
6,Hydroelectric power,Hydroelectric power,3400,1966
3,Hydroelectric power,Hydroelectric power,740,1886
3,Hydroelectric power,Hydroelectric power,893,1998
3,Hydroelectric power,Hydroelectric power,850,2000
18,Other renewable energies,Wind energy,10,2012
11,Fossil fuel,Natural gas,115,2009
5,Hydroelectric power,Hydroelectric power,67,1993
19,Hydroelectric power,Hydroelectric power,16000,1894
17,Hydroelectric power,Hydroelectric power,80,1982
20,Fossil fuel,Natural gas,30,2010
18,Hydroelectric power,Hydroelectric power,6160,1944
2,Hydroelectric power,Hydroelectric power,4300,1906
2,Hydroelectric power,Hydroelectric power,1155,1903
7,Hydroelectric power,Hydroelectric power,8500,1937
7,Hydroelectric power,Hydroelectric power,6700,1945
7,Hydroelectric power,Hydroelectric power,71,1992
7,Hydroelectric power,Hydroelectric power,100,1997
7,Hydroelectric power,Hydroelectric power,240,1890
3,Hydroelectric power,Hydroelectric power,3040,1980
3,Hydroelectric power,Hydroelectric power,1080,2003
19,Nuclear energy,Nuclear energy,1250000,1984
23,Fossil fuel,Natural gas,60326,2009
22,Hydroelectric power,Hydroelectric power,2220,1895
22,Hydroelectric power,Hydroelectric power,1800,1955
23,Hydroelectric power,Hydroelectric power,12000,2002
23,Hydroelectric power,Hydroelectric power,1600,1993
2,Other renewable energies,Waste,15070,2003
25,Other renewable energies,Waste,18400,1966
25,Hydroelectric power,Hydroelectric power,240,2007
25,Hydroelectric power,Hydroelectric power,6000,1995
8,Hydroelectric power,Hydroelectric power,2400,1899
23,Other renewable energies,Biomass,44,1993
19,Nuclear energy,Nuclear energy,364800,1969
19,Nuclear energy,Nuclear energy,364800,1971
21,Hydroelectric power,Hydroelectric power,950,1894
11,Nuclear energy,Nuclear energy,1035000,1979
9,Hydroelectric power,Hydroelectric power,1747,1897
9,Hydroelectric power,Hydroelectric power,1995,1902
9,Hydroelectric power,Hydroelectric power,122.8,1998
2,Other renewable energies,Waste,4050,1991
25,Hydroelectric power,Hydroelectric power,52000,1925
25,Hydroelectric power,Hydroelectric power,104700,1943
2,Hydroelectric power,Hydroelectric power,5243,1995
2,Hydroelectric power,Hydroelectric power,3940,1984
26,Hydroelectric power,Hydroelectric power,7550,1894
18,Hydroelectric power,Hydroelectric power,3830,1970
7,Hydroelectric power,Hydroelectric power,17750,1960
17,Hydroelectric power,Hydroelectric power,4700,1987
17,Hydroelectric power,Hydroelectric power,5185.3,1990
17,Hydroelectric power,Hydroelectric power,110,1984
17,Hydroelectric power,Hydroelectric power,2425,1996
17,Hydroelectric power,Hydroelectric power,66.7,1925
6,Hydroelectric power,Hydroelectric power,8250,1968
17,Hydroelectric power,Hydroelectric power,6290,1959
17,Hydroelectric power,Hydroelectric power,1990,1989
17,Hydroelectric power,Hydroelectric power,104,1997
17,Hydroelectric power,Hydroelectric power,250,1986
17,Hydroelectric power,Hydroelectric power,1200,1981
11,Other renewable energies,Biomass,180,2010
11,Other renewable energies,Biomass,112,2003
9,Other renewable energies,Photovoltaic,20.8,1998
9,Hydroelectric power,Hydroelectric power,30,1982
19,Fossil fuel,Natural gas,80,1998
19,Other renewable energies,Waste,13600,1970
17,Other renewable energies,Waste,26150,1974
23,Hydroelectric power,Hydroelectric power,1330,1995
23,Hydroelectric power,Hydroelectric power,926,1994
23,Hydroelectric power,Hydroelectric power,7500,1942
19,Other renewable energies,Waste,7760,1992
23,Other renewable energies,Biomass,140,2003
17,Hydroelectric power,Hydroelectric power,900,1911
1,Other renewable energies,Waste,9500,1995
1,Other renewable energies,Photovoltaic,624.3000000000001,2002
1,Fossil fuel,Natural gas,6000,2000
1,Fossil fuel,Natural gas,5070,1967
7,Hydroelectric power,Hydroelectric power,98,1999
22,Other renewable energies,Photovoltaic,64.8,1994
17,Other renewable energies,Waste,5700,1987
10,Hydroelectric power,Hydroelectric power,2400,1976
10,Hydroelectric power,Hydroelectric power,7800,1972
10,Hydroelectric power,Hydroelectric power,71900,1948
24,Hydroelectric power,Hydroelectric power,37600,1952
24,Hydroelectric power,Hydroelectric power,4770,1988
10,Hydroelectric power,Hydroelectric power,89300,1964
10,Other renewable energies,Waste,10000,2001
10,Hydroelectric power,Hydroelectric power,16620,1910
23,Other renewable energies,Biomass,120,1999
10,Hydroelectric power,Hydroelectric power,3184,1999
24,Fossil fuel,Natural gas,47200,1988
12,Other renewable energies,Photovoltaic,45.9,2007
9,Fossil fuel,Natural gas,175,2011
18,Hydroelectric power,Hydroelectric power,105,1992
22,Hydroelectric power,Hydroelectric power,12622,2000
23,Hydroelectric power,Hydroelectric power,1600,1964
9,Fossil fuel,Natural gas,55,2000
17,Fossil fuel,Natural gas,230,2012
17,Fossil fuel,Natural gas,1940,2007
17,Hydroelectric power,Hydroelectric power,855,2001
17,Other renewable energies,Photovoltaic,15,2001
4,Hydroelectric power,Hydroelectric power,1600,1997
4,Hydroelectric power,Hydroelectric power,5930,1963
8,Hydroelectric power,Hydroelectric power,285,1995
8,Hydroelectric power,Hydroelectric power,583,1947
8,Hydroelectric power,Hydroelectric power,1530,1900
26,Other renewable energies,Wind energy,4000,2009
8,Hydroelectric power,Hydroelectric power,3600,1976
2,Other renewable energies,Photovoltaic,35.57,2003
19,Fossil fuel,Natural gas,144,2008
23,Hydroelectric power,Hydroelectric power,4560,1977
10,Other renewable energies,Biomass,300,1994
10,Other renewable energies,Biomass,670,1995
20,Other renewable energies,Photovoltaic,24,1999
18,Fossil fuel,Natural gas,390,2003
18,Hydroelectric power,Hydroelectric power,730.2,1997
2,Fossil fuel,Natural gas,92056,2012
2,Other renewable energies,Biomass,60,1995
18,Hydroelectric power,Hydroelectric power,6342,1998
5,Hydroelectric power,Hydroelectric power,13700,1960
5,Hydroelectric power,Hydroelectric power,20600,1962
5,Hydroelectric power,Hydroelectric power,9700,1970
5,Hydroelectric power,Hydroelectric power,22600,1966
5,Hydroelectric power,Hydroelectric power,360,1949
24,Other renewable energies,Biomass,96,2013
1,Hydroelectric power,Hydroelectric power,2818,1900
10,Fossil fuel,Natural gas,115,2010
7,Hydroelectric power,Hydroelectric power,1558,1957
23,Hydroelectric power,Hydroelectric power,26563,1965
23,Hydroelectric power,Hydroelectric power,45450,1971
23,Hydroelectric power,Hydroelectric power,161050,1974
2,Fossil fuel,Natural gas,60,1996
2,Other renewable energies,Biomass,74.7,1999
22,Other renewable energies,Biomass,48,2004
12,Fossil fuel,Natural gas,1740,2012
12,Fossil fuel,Natural gas,20355,2008
12,Fossil fuel,Natural gas,200,2004
12,Fossil fuel,Natural gas,96,1999
12,Fossil fuel,Natural gas,290,1994
10,Hydroelectric power,Hydroelectric power,500,2004
10,Hydroelectric power,Hydroelectric power,73.6,1990
24,Hydroelectric power,Hydroelectric power,1230,2005
13,Fossil fuel,Natural gas,128,2011
11,Fossil fuel,Natural gas,180,2003
2,Fossil fuel,Natural gas,230,1997
2,Fossil fuel,Natural gas,602.5,1998
17,Fossil fuel,Natural gas,60,2009
18,Fossil fuel,Natural gas,1015,2012
17,Fossil fuel,Natural gas,49,2004
8,Hydroelectric power,Hydroelectric power,110,1965
11,Fossil fuel,Natural gas,368,2014
13,Fossil fuel,Natural gas,884,1995
13,Fossil fuel,Natural gas,3962,2003
2,Other renewable energies,Photovoltaic,125.2,2004
19,Other renewable energies,Photovoltaic,45.8,2000
23,Other renewable energies,Photovoltaic,22,2005
23,Other renewable energies,Photovoltaic,25.4,2004
13,Fossil fuel,Natural gas,350,2008
18,Hydroelectric power,Hydroelectric power,2379,2004
13,Fossil fuel,Natural gas,475,2012
13,Fossil fuel,Natural gas,331,1992
13,Fossil fuel,Natural gas,570,1990
13,Fossil fuel,Natural gas,801,1997
13,Fossil fuel,Natural gas,514,1993
13,Fossil fuel,Natural gas,686,1999
11,Fossil fuel,Natural gas,91.2,2000
13,Fossil fuel,Natural gas,590,1994
13,Fossil fuel,Natural gas,236,2001
13,Fossil fuel,Natural gas,396,2002
13,Fossil fuel,Natural gas,240,2000
24,Other renewable energies,Waste,6625,2000
24,Other renewable energies,Waste,4680,1991
24,Other renewable energies,Waste,2840,1985
2,Other renewable energies,Photovoltaic,20.7,1990
3,Fossil fuel,Natural gas,200,2012
18,Hydroelectric power,Hydroelectric power,586.5,2003
5,Hydroelectric power,Hydroelectric power,2000,1961
5,Hydroelectric power,Hydroelectric power,300,1956
5,Hydroelectric power,Hydroelectric power,1000,1988
15,Other renewable energies,Photovoltaic,31.78,1998
21,Hydroelectric power,Hydroelectric power,431000,1962
20,Other renewable energies,Photovoltaic,20.6,2004
8,Hydroelectric power,Hydroelectric power,195,1930
1,Other renewable energies,Photovoltaic,479.4,2001
20,Fossil fuel,Natural gas,50,2013
13,Fossil fuel,Natural gas,51,1989
13,Fossil fuel,Natural gas,420,1988
13,Fossil fuel,Natural gas,500,2009
13,Fossil fuel,Natural gas,700,1981
23,Other renewable energies,Waste,4520,2009
21,Hydroelectric power,Hydroelectric power,468000,1966
2,Fossil fuel,Natural gas,1065,2003
22,Other renewable energies,Biomass,115,1980
20,Other renewable energies,Photovoltaic,3.3,1991
19,Hydroelectric power,Hydroelectric power,116300,1933
19,Hydroelectric power,Hydroelectric power,27000,2009
19,Fossil fuel,Natural gas,482,1989
1,Fossil fuel,Natural gas,266,2005
1,Fossil fuel,Natural gas,386,1991
12,Other renewable energies,Photovoltaic,80.1,2006
10,Other renewable energies,Photovoltaic,110.2,2005
21,Fossil fuel,Natural gas,252,1997
12,Fossil fuel,Natural gas,280,1996
24,Fossil fuel,Natural gas,180,1997
2,Fossil fuel,Natural gas,494,2013
21,Fossil fuel,Natural gas,147.3,2013
18,Hydroelectric power,Hydroelectric power,9390,1980
25,Fossil fuel,Natural gas,450,1995
22,Hydroelectric power,Hydroelectric power,70,1937
22,Fossil fuel,Natural gas,100,2001
22,Fossil fuel,Natural gas,85,1999
2,Other renewable energies,Photovoltaic,26.8,1991
8,Hydroelectric power,Hydroelectric power,66,1944
22,Hydroelectric power,Hydroelectric power,86400,1950
23,Hydroelectric power,Hydroelectric power,3150,1981
3,Fossil fuel,Natural gas,115,1995
20,Other renewable energies,Photovoltaic,49.830000000000005,2003
22,Other renewable energies,Biomass,665,2002
1,Fossil fuel,Natural gas,2012,2002
