ID,MainCategory,SubCategory,TotalPower
4208,Other renewable energies,Biomass,80.00
4209,Other renewable energies,Photovoltaic,2871.72
4209,Hydroelectric power,Hydroelectric power,302.00
4210,Other renewable energies,Photovoltaic,1497.02
4221,Other renewable energies,Photovoltaic,3879.34
4222,Other renewable energies,Photovoltaic,1097.13
4222,Other renewable energies,Biomass,160.00
4223,Other renewable energies,Photovoltaic,3988.71
4224,Other renewable energies,Photovoltaic,876.38
4226,Other renewable energies,Photovoltaic,592.53
4227,Other renewable energies,Photovoltaic,1325.75
4228,Other renewable energies,Photovoltaic,1912.44
4229,Other renewable energies,Photovoltaic,633.90
4229,Other renewable energies,Biomass,15.00
4230,Other renewable energies,Photovoltaic,848.10
4231,Other renewable energies,Photovoltaic,866.22
4232,Other renewable energies,Photovoltaic,712.51
4233,Other renewable energies,Photovoltaic,665.49
4234,Other renewable energies,Photovoltaic,2966.17
4235,Other renewable energies,Photovoltaic,1396.02
4237,Other renewable energies,Biomass,485.90
4237,Other renewable energies,Photovoltaic,1767.61
4238,Other renewable energies,Photovoltaic,856.27
4239,Other renewable energies,Photovoltaic,4604.42
4239,Other renewable energies,Biomass,37.00
4240,Other renewable energies,Photovoltaic,2487.22
4251,Other renewable energies,Photovoltaic,470.04
4252,Other renewable energies,Photovoltaic,5361.57
4253,Other renewable energies,Photovoltaic,1568.93
4254,Other renewable energies,Photovoltaic,6749.50
4254,Other renewable energies,Biomass,301.00
4255,Other renewable energies,Photovoltaic,369.03
4256,Other renewable energies,Photovoltaic,615.88
4257,Other renewable energies,Photovoltaic,184.30
4258,Other renewable energies,Photovoltaic,8718.29
4258,Other renewable energies,Biomass,185.00
4258,Hydroelectric power,Hydroelectric power,160628.00
4259,Other renewable energies,Photovoltaic,551.73
4261,Other renewable energies,Photovoltaic,1438.79
4261,Other renewable energies,Biomass,17.00
4262,Other renewable energies,Photovoltaic,426.15
4263,Other renewable energies,Photovoltaic,1070.01
4264,Other renewable energies,Photovoltaic,775.60
4271,Hydroelectric power,Hydroelectric power,440.00
4271,Other renewable energies,Photovoltaic,1935.04
4271,Other renewable energies,Biomass,120.00
4273,Other renewable energies,Photovoltaic,465.78
4274,Other renewable energies,Photovoltaic,2278.67
4274,Hydroelectric power,Hydroelectric power,100.00
4275,Other renewable energies,Photovoltaic,666.62
4276,Other renewable energies,Photovoltaic,3204.11
4276,Other renewable energies,Biomass,37.00
4277,Other renewable energies,Photovoltaic,449.27
4279,Hydroelectric power,Hydroelectric power,32.00
4279,Other renewable energies,Biomass,43.00
4279,Other renewable energies,Photovoltaic,293.64
4280,Other renewable energies,Photovoltaic,3563.19
4281,Other renewable energies,Photovoltaic,924.74
4282,Other renewable energies,Photovoltaic,5941.40
4282,Hydroelectric power,Hydroelectric power,100.00
4283,Other renewable energies,Photovoltaic,2086.11
4284,Other renewable energies,Photovoltaic,941.74
4285,Other renewable energies,Photovoltaic,3745.50
4286,Other renewable energies,Photovoltaic,614.94
4287,Other renewable energies,Photovoltaic,1430.46
4288,Other renewable energies,Photovoltaic,127.04
4289,Other renewable energies,Photovoltaic,3836.10
4303,Other renewable energies,Photovoltaic,163.25
4304,Other renewable energies,Photovoltaic,1092.19
4304,Hydroelectric power,Hydroelectric power,25461.00
4304,Nuclear energy,Nuclear energy,729600.00
4305,Other renewable energies,Photovoltaic,1550.58
4305,Hydroelectric power,Hydroelectric power,15.00
4306,Other renewable energies,Photovoltaic,449.48
4307,Other renewable energies,Photovoltaic,734.79
4309,Other renewable energies,Biomass,625.00
4309,Other renewable energies,Photovoltaic,2848.23
4309,Hydroelectric power,Hydroelectric power,40950.00
4310,Other renewable energies,Photovoltaic,808.15
4311,Other renewable energies,Photovoltaic,1917.16
4311,Nuclear energy,Nuclear energy,1250000.00
4311,Hydroelectric power,Hydroelectric power,111000.00
4313,Other renewable energies,Photovoltaic,1800.73
4314,Other renewable energies,Photovoltaic,909.32
4318,Other renewable energies,Photovoltaic,912.46
4319,Other renewable energies,Photovoltaic,205.06
4320,Other renewable energies,Photovoltaic,555.32
4401,Other renewable energies,Photovoltaic,6631.67
4406,Other renewable energies,Photovoltaic,669.59
4411,Other renewable energies,Photovoltaic,2944.20
4416,Other renewable energies,Photovoltaic,2063.17
4416,Other renewable energies,Biomass,115.00
4421,Other renewable energies,Photovoltaic,3487.89
4426,Other renewable energies,Photovoltaic,1179.39
4436,Other renewable energies,Photovoltaic,6500.44
4441,Other renewable energies,Photovoltaic,1606.02
4446,Other renewable energies,Photovoltaic,683.91
4451,Other renewable energies,Photovoltaic,907.78
4461,Other renewable energies,Photovoltaic,8782.27
4471,Other renewable energies,Photovoltaic,2713.78
4471,Other renewable energies,Biomass,175.00
4471,Hydroelectric power,Hydroelectric power,1066.00
4476,Other renewable energies,Photovoltaic,1781.27
4495,Other renewable energies,Photovoltaic,1003.76
4501,Other renewable energies,Photovoltaic,4.28
4506,Other renewable energies,Photovoltaic,4650.09
4511,Other renewable energies,Photovoltaic,534.60
4545,Other renewable energies,Photovoltaic,2186.95
4551,Other renewable energies,Photovoltaic,5394.75
4551,Other renewable energies,Biomass,60.00
4551,Hydroelectric power,Hydroelectric power,15.00
4561,Other renewable energies,Photovoltaic,1667.27
4566,Other renewable energies,Photovoltaic,18444.99
4566,Other renewable energies,Biomass,15755.00
4566,Hydroelectric power,Hydroelectric power,490.30
4571,Other renewable energies,Photovoltaic,993.27
4590,Other renewable energies,Photovoltaic,1022.03
4591,Hydroelectric power,Hydroelectric power,425.00
4591,Other renewable energies,Photovoltaic,2242.98
4591,Other renewable energies,Biomass,230.00
4606,Other renewable energies,Photovoltaic,1977.35
4611,Other renewable energies,Photovoltaic,1667.26
4616,Other renewable energies,Photovoltaic,17.46
4621,Other renewable energies,Photovoltaic,64.04
4641,Other renewable energies,Photovoltaic,2546.30
4643,Other renewable energies,Photovoltaic,1812.97
4646,Other renewable energies,Photovoltaic,2525.02
4651,Other renewable energies,Photovoltaic,113.67
4656,Other renewable energies,Photovoltaic,2470.27
4671,Other renewable energies,Photovoltaic,9176.99
4681,Other renewable energies,Photovoltaic,1005.87
4681,Other renewable energies,Biomass,50.00
4683,Other renewable energies,Photovoltaic,496.21
4691,Other renewable energies,Photovoltaic,238.90
4696,Other renewable energies,Photovoltaic,6035.55
4701,Other renewable energies,Photovoltaic,534.34
4711,Other renewable energies,Photovoltaic,2752.33
4716,Other renewable energies,Photovoltaic,1121.63
4723,Other renewable energies,Photovoltaic,1213.10
4724,Other renewable energies,Biomass,450.00
4724,Other renewable energies,Photovoltaic,3549.25
4726,Other renewable energies,Photovoltaic,821.06
4726,Other renewable energies,Biomass,50.00
4741,Other renewable energies,Photovoltaic,475.50
4756,Other renewable energies,Photovoltaic,1429.62
4761,Other renewable energies,Photovoltaic,4290.09
4761,Hydroelectric power,Hydroelectric power,306.00
4776,Other renewable energies,Photovoltaic,291.41
4781,Other renewable energies,Biomass,331.00
4781,Other renewable energies,Photovoltaic,4538.10
4791,Other renewable energies,Photovoltaic,1002.41
4801,Other renewable energies,Photovoltaic,530.80
4801,Other renewable energies,Biomass,27.00
4806,Other renewable energies,Photovoltaic,1377.05
4811,Other renewable energies,Biomass,300.00
4811,Other renewable energies,Photovoltaic,1186.46
4816,Other renewable energies,Photovoltaic,2004.30
4821,Other renewable energies,Photovoltaic,3215.69
4826,Other renewable energies,Photovoltaic,271.00
4831,Other renewable energies,Photovoltaic,1187.97
4841,Other renewable energies,Photovoltaic,769.25
4841,Hydroelectric power,Hydroelectric power,312.00
4846,Other renewable energies,Photovoltaic,627.55
4851,Other renewable energies,Photovoltaic,423.09
4864,Other renewable energies,Photovoltaic,2920.46
4864,Other renewable energies,Biomass,249.90
4864,Hydroelectric power,Hydroelectric power,7.50
4871,Other renewable energies,Photovoltaic,162.32
4881,Other renewable energies,Photovoltaic,5628.55
4901,Other renewable energies,Photovoltaic,257.57
