ID,MainCategory,SubCategory,TotalPower,Date
5192,Other renewable energies,Photovoltaic,103.10000000000001,2009
5561,Other renewable energies,Photovoltaic,148.7,2009
3032,Other renewable energies,Photovoltaic,115.91,2007
3111,Other renewable energies,Photovoltaic,204,2007
6022,Hydroelectric power,Hydroelectric power,360,2010
6139,Hydroelectric power,Hydroelectric power,360,2010
5161,Other renewable energies,Photovoltaic,20,2010
4207,Other renewable energies,Photovoltaic,42.7,2009
3254,Other renewable energies,Photovoltaic,72.1,2008
4307,Other renewable energies,Photovoltaic,29.4,2012
1703,Other renewable energies,Photovoltaic,92,2009
3986,Hydroelectric power,Hydroelectric power,2350,2009
2122,Other renewable energies,Photovoltaic,4.9,2007
2851,Other renewable energies,Photovoltaic,16.41,2007
2865,Other renewable energies,Photovoltaic,16.41,2007
3203,Other renewable energies,Photovoltaic,34.300000000000004,2008
3204,Other renewable energies,Photovoltaic,13.8,2008
3211,Other renewable energies,Photovoltaic,41.900000000000006,2008
3442,Other renewable energies,Photovoltaic,13.8,2008
3444,Other renewable energies,Photovoltaic,21.4,2008
2175,Other renewable energies,Photovoltaic,13.4,2007
2235,Other renewable energies,Photovoltaic,26.8,2007
4080,Other renewable energies,Photovoltaic,2631.4500000000003,2013
4082,Other renewable energies,Photovoltaic,2617.9600000000005,2013
54,Other renewable energies,Photovoltaic,114.06,2011
1301,Other renewable energies,Photovoltaic,73.5,2008
1321,Other renewable energies,Photovoltaic,49.099999999999994,2008
4911,Other renewable energies,Photovoltaic,61,2009
4921,Other renewable energies,Photovoltaic,4.2,2009
4946,Other renewable energies,Photovoltaic,20.1,2009
358,Other renewable energies,Photovoltaic,21.2,2008
359,Other renewable energies,Photovoltaic,21.2,2008
138,Other renewable energies,Photovoltaic,123.6,2008
1323,Other renewable energies,Photovoltaic,139.39999999999998,2008
1125,Other renewable energies,Photovoltaic,11.8,2008
1140,Other renewable energies,Photovoltaic,35.2,2008
1363,Other renewable energies,Photovoltaic,23.740000000000002,2009
716,Other renewable energies,Photovoltaic,377.4,2011
154,Other renewable energies,Photovoltaic,55.699999999999996,2008
405,Other renewable energies,Photovoltaic,28.9,2007
4207,Other renewable energies,Photovoltaic,40.5,2007
4891,Other renewable energies,Photovoltaic,1549.1600000000003,2013
1403,Other renewable energies,Photovoltaic,28.339999999999996,2009
1406,Other renewable energies,Photovoltaic,237.76,2009
3024,Other renewable energies,Photovoltaic,9.9,2010
3104,Other renewable energies,Photovoltaic,165.83999999999997,2010
2304,Other renewable energies,Photovoltaic,589.1700000000001,2011
