ID,Municipality,MainCategory,SubCategory,TotalPower
1367,Muotathal,Hydroelectric power,Hydroelectric power,384.50
1368,Oberiberg,Other renewable energies,Photovoltaic,571.78
1370,Rothenthurm,Other renewable energies,Photovoltaic,2061.33
1371,Sattel,Other renewable energies,Photovoltaic,7678.00
1371,Sattel,Hydroelectric power,Hydroelectric power,2294.72
1372,Schwyz,Other renewable energies,Biomass,2026.00
1372,Schwyz,Other renewable energies,Photovoltaic,3432.93
1372,Schwyz,Hydroelectric power,Hydroelectric power,105.80
1375,Unteriberg,Other renewable energies,Photovoltaic,47.92
1401,Alpnach,Other renewable energies,Photovoltaic,8495.56
1401,Alpnach,Other renewable energies,Biomass,250.00
1401,Alpnach,Hydroelectric power,Hydroelectric power,3523.30
1402,Engelberg,Other renewable energies,Photovoltaic,56.81
1403,Giswil,Other renewable energies,Photovoltaic,2690.48
1403,Giswil,Hydroelectric power,Hydroelectric power,60430.00
1404,Kerns,Other renewable energies,Photovoltaic,113.16
1404,Kerns,Hydroelectric power,Hydroelectric power,14030.00
1405,Lungern,Other renewable energies,Photovoltaic,1461.16
1405,Lungern,Hydroelectric power,Hydroelectric power,1283.00
1406,Sachseln,Other renewable energies,Photovoltaic,3741.30
1406,Sachseln,Hydroelectric power,Hydroelectric power,472.00
1407,Sarnen,Hydroelectric power,Hydroelectric power,660.70
1407,Sarnen,Other renewable energies,Photovoltaic,8165.35
1407,Sarnen,Other renewable energies,Biomass,500.00
1501,Beckenried,Other renewable energies,Photovoltaic,1005.67
1501,Beckenried,Hydroelectric power,Hydroelectric power,2092.00
1502,Buochs,Other renewable energies,Photovoltaic,4236.11
1502,Buochs,Other renewable energies,Biomass,50.00
1502,Buochs,Hydroelectric power,Hydroelectric power,90.00
1503,Dallenwil,Other renewable energies,Photovoltaic,514.70
1505,Ennetbürgen,Other renewable energies,Photovoltaic,1598.39
1506,Ennetmoos,Other renewable energies,Photovoltaic,8882.90
1506,Ennetmoos,Other renewable energies,Biomass,104.00
1506,Ennetmoos,Hydroelectric power,Hydroelectric power,568.00
1508,Oberdorf (NW),Other renewable energies,Photovoltaic,778.76
1508,Oberdorf (NW),Hydroelectric power,Hydroelectric power,84.00
1511,Wolfenschiessen,Hydroelectric power,Hydroelectric power,35788.50
1511,Wolfenschiessen,Other renewable energies,Photovoltaic,508.22
1630,Glarus Nord,Other renewable energies,Photovoltaic,12630.64
1630,Glarus Nord,Other renewable energies,Waste,12500.00
1630,Glarus Nord,Other renewable energies,Biomass,615.00
1630,Glarus Nord,Hydroelectric power,Hydroelectric power,73614.00
1631,Glarus Süd,Hydroelectric power,Hydroelectric power,1624919.00
1631,Glarus Süd,Other renewable energies,Photovoltaic,7226.67
1701,Baar,Other renewable energies,Photovoltaic,17898.78
1701,Baar,Hydroelectric power,Hydroelectric power,813.00
1702,Cham,Other renewable energies,Photovoltaic,13484.40
1702,Cham,Other renewable energies,Biomass,955.00
1702,Cham,Hydroelectric power,Hydroelectric power,1273.00
1702,Cham,Fossil fuel,Natural gas,30.00
1703,Hünenberg,Other renewable energies,Photovoltaic,2810.91
1704,Menzingen,Other renewable energies,Photovoltaic,3177.51
1707,Risch,Other renewable energies,Photovoltaic,7478.37
1707,Risch,Fossil fuel,Natural gas,55.00
1711,Zug,Other renewable energies,Photovoltaic,784.42
1711,Zug,Fossil fuel,Natural gas,175.00
2008,Châtillon (FR),Other renewable energies,Photovoltaic,658.56
2011,Cugy (FR),Other renewable energies,Photovoltaic,4193.64
2016,Fétigny,Other renewable energies,Photovoltaic,1407.04
2022,Gletterens,Other renewable energies,Photovoltaic,823.75
2025,Lully (FR),Other renewable energies,Photovoltaic,5045.74
2025,Lully (FR),Other renewable energies,Biomass,330.00
2025,Lully (FR),Hydroelectric power,Hydroelectric power,3.00
2027,Ménières,Other renewable energies,Photovoltaic,272.80
2029,Montagny (FR),Other renewable energies,Photovoltaic,6141.52
2035,Nuvilly,Other renewable energies,Photovoltaic,661.86
2038,Prévondavaux,Other renewable energies,Photovoltaic,2076.94
2041,Saint-Aubin (FR),Other renewable energies,Photovoltaic,2580.89
2043,Sévaz,Other renewable energies,Photovoltaic,4222.08
2044,Surpierre,Other renewable energies,Photovoltaic,2876.26
2044,Surpierre,Other renewable energies,Biomass,1284.00
2045,Vallon,Other renewable energies,Photovoltaic,1309.23
2050,Les Montets,Other renewable energies,Photovoltaic,749.86
2051,Delley-Portalban,Other renewable energies,Photovoltaic,1425.95
2053,Belmont-Broye,Other renewable energies,Photovoltaic,12903.10
2054,Estavayer,Other renewable energies,Photovoltaic,3579.49
2055,Cheyres-Châbles,Other renewable energies,Photovoltaic,1960.98
2061,Auboranges,Other renewable energies,Photovoltaic,1555.39
2063,Billens-Hennens,Other renewable energies,Photovoltaic,941.93
2066,Chapelle (Glâne),Other renewable energies,Photovoltaic,743.68
2067,Le Châtelard,Other renewable energies,Photovoltaic,615.31
2068,Châtonnaye,Other renewable energies,Photovoltaic,1159.18
2072,Ecublens (FR),Other renewable energies,Photovoltaic,639.12
2079,Grangettes,Other renewable energies,Photovoltaic,274.56
2086,Massonnens,Other renewable energies,Photovoltaic,741.17
2087,Mézières (FR),Other renewable energies,Photovoltaic,4382.20
2087,Mézières (FR),Other renewable energies,Biomass,40.00
2089,Montet (Glâne),Other renewable energies,Photovoltaic,526.40
2097,Rue,Other renewable energies,Photovoltaic,635.63
2099,Siviriez,Other renewable energies,Photovoltaic,2487.79
2102,Ursy,Other renewable energies,Photovoltaic,1543.37
2113,Vuisternens-devant-Romont,Other renewable energies,Photovoltaic,2670.66
2114,Villorsonnens,Other renewable energies,Photovoltaic,3880.22
2114,Villorsonnens,Other renewable energies,Biomass,520.00
2115,Torny,Other renewable energies,Photovoltaic,1077.59
2117,Villaz,Other renewable energies,Photovoltaic,504.06
2121,Haut-Intyamon,Other renewable energies,Photovoltaic,736.25
2121,Haut-Intyamon,Hydroelectric power,Hydroelectric power,35825.00
2122,Pont-en-Ogoz,Other renewable energies,Photovoltaic,1422.11
2123,Botterens,Other renewable energies,Photovoltaic,405.97
2124,Broc,Other renewable energies,Photovoltaic,960.61
2124,Broc,Other renewable energies,Biomass,108.00
2124,Broc,Hydroelectric power,Hydroelectric power,24575.00
2125,Bulle,Other renewable energies,Photovoltaic,14311.36
2125,Bulle,Hydroelectric power,Hydroelectric power,22.00
2125,Bulle,Fossil fuel,Natural gas,1490.00
2129,Corbières,Other renewable energies,Photovoltaic,1513.96
2131,Echarlens,Other renewable energies,Photovoltaic,3823.80
2134,Grandvillard,Other renewable energies,Photovoltaic,1163.72
2134,Grandvillard,Other renewable energies,Biomass,526.00
2134,Grandvillard,Hydroelectric power,Hydroelectric power,3292.60
2135,Gruyères,Other renewable energies,Photovoltaic,1934.63
2137,Hauteville,Other renewable energies,Photovoltaic,2116.54
2137,Hauteville,Hydroelectric power,Hydroelectric power,37.00
2138,Jaun,Other renewable energies,Photovoltaic,4211.90
2138,Jaun,Other renewable energies,Biomass,770.00
2138,Jaun,Hydroelectric power,Hydroelectric power,8435.50
2140,Marsens,Other renewable energies,Photovoltaic,1829.49
2140,Marsens,Other renewable energies,Biomass,420.00
2140,Marsens,Fossil fuel,Natural gas,115.00
2143,Morlon,Other renewable energies,Photovoltaic,360.44
2147,Pont-la-Ville,Other renewable energies,Photovoltaic,446.54
2148,Riaz,Other renewable energies,Photovoltaic,1667.10
2149,La Roche,Other renewable energies,Photovoltaic,1357.26
2152,Sâles,Other renewable energies,Photovoltaic,3942.71
2153,Sorens,Other renewable energies,Photovoltaic,842.44
2162,Bas-Intyamon,Other renewable energies,Photovoltaic,1419.94
2163,Val-de-Charmey,Hydroelectric power,Hydroelectric power,60.00
2163,Val-de-Charmey,Other renewable energies,Photovoltaic,251.40
2173,Autigny,Other renewable energies,Photovoltaic,2807.40
2173,Autigny,Other renewable energies,Biomass,55.00
2174,Avry,Other renewable energies,Photovoltaic,1727.67
2175,Belfaux,Other renewable energies,Photovoltaic,5339.56
2177,Chénens,Other renewable energies,Photovoltaic,862.27
2183,Corminboeuf,Other renewable energies,Photovoltaic,3457.97
2186,Cottens (FR),Other renewable energies,Photovoltaic,1681.93
2194,Ferpicloz,Other renewable energies,Biomass,680.00
2194,Ferpicloz,Other renewable energies,Photovoltaic,3893.63
2196,Fribourg,Other renewable energies,Photovoltaic,6763.64
2196,Fribourg,Other renewable energies,Biomass,670.00
2196,Fribourg,Hydroelectric power,Hydroelectric power,17120.00
2197,Givisiez,Other renewable energies,Photovoltaic,5284.59
2198,Granges-Paccot,Other renewable energies,Photovoltaic,1459.00
2198,Granges-Paccot,Fossil fuel,Natural gas,143.00
2206,Marly,Other renewable energies,Photovoltaic,6592.35
2206,Marly,Other renewable energies,Biomass,150.00
2206,Marly,Other renewable energies,Waste,10000.00
2206,Marly,Hydroelectric power,Hydroelectric power,71900.00
2211,Neyruz (FR),Other renewable energies,Photovoltaic,2066.09
2220,Le Mouret,Other renewable energies,Photovoltaic,691.68
2228,Villars-sur-Glâne,Other renewable energies,Photovoltaic,4014.29
2228,Villars-sur-Glâne,Other renewable energies,Biomass,125.00
2228,Villars-sur-Glâne,Hydroelectric power,Hydroelectric power,40.00
2233,Hauterive (FR),Other renewable energies,Photovoltaic,1982.37
2234,La Brillaz,Other renewable energies,Photovoltaic,939.88
2236,Gibloux,Other renewable energies,Photovoltaic,11699.17
2236,Gibloux,Hydroelectric power,Hydroelectric power,2400.00
2237,Prez,Other renewable energies,Biomass,615.00
2237,Prez,Other renewable energies,Photovoltaic,3888.60
2238,Bois-d'Amont,Other renewable energies,Photovoltaic,2391.30
2250,Courgevaux,Other renewable energies,Photovoltaic,5653.74
2254,Courtepin,Other renewable energies,Photovoltaic,5272.54
2254,Courtepin,Other renewable energies,Biomass,335.40
2257,Cressier (FR),Other renewable energies,Photovoltaic,1472.49
2258,Fräschels,Other renewable energies,Photovoltaic,316.23
2262,Gurmels,Other renewable energies,Photovoltaic,1602.70
2262,Gurmels,Other renewable energies,Biomass,5.40
2262,Gurmels,Hydroelectric power,Hydroelectric power,86800.00
2272,Misery-Courtion,Other renewable energies,Photovoltaic,1937.81
2272,Misery-Courtion,Other renewable energies,Biomass,116.00
2274,Muntelier,Other renewable energies,Photovoltaic,419.45
2274,Muntelier,Other renewable energies,Biomass,109.00
2275,Murten,Other renewable energies,Photovoltaic,2923.62
2275,Murten,Other renewable energies,Biomass,150.00
2276,Ried bei Kerzers,Other renewable energies,Photovoltaic,3189.33
